date,time,action,dir,shares,price,stop,reason,pnl,balance,signal_details
2026-03-18,09:30,SELL,SHORT,2,446.46,448.988,ZONE,,1000.0,"trigger=446.510 zone=supply htf=[445.55,449.63] refined=[446.480,448.540] rr=2.5"
2026-03-18,12:30,CLOSE,SHORT,2,449.038,448.988,STOP,-5.16,994.84,entry=446.460 trigger=448.988 comm=0.0000 zone=supply
2026-03-18,13:30,SELL,SHORT,2,448.84,450.4,ZONE,,994.84,"trigger=448.890 zone=supply htf=[444.39,450.06] refined=[447.660,449.950] rr=2.5"
2026-03-18,14:30,CLOSE,SHORT,2,445.184,445.134,TRAIL_STOP,7.31,1002.16,entry=448.840 trigger=445.134 comm=0.0000 zone=supply
2026-03-20,13:30,SELL,SHORT,2,418.31,418.868,ZONE,,1002.16,"trigger=418.360 zone=supply htf=[414.95,418.45] refined=[416.760,418.450] rr=3.1"
2026-03-20,14:30,CLOSE,SHORT,2,411.364,411.314,TRAIL_STOP,13.89,1016.05,entry=418.310 trigger=411.314 comm=0.0000 zone=supply
2026-03-23,09:30,SELL,SHORT,2,412.07,412.953,ZONE,,1016.05,"trigger=412.120 zone=supply htf=[408.83,412.63] refined=[410.601,412.540] rr=2.5"
2026-03-23,10:30,CLOSE,SHORT,2,406.932,406.882,TRAIL_STOP,10.28,1026.32,entry=412.070 trigger=406.882 comm=0.0000 zone=supply
2026-03-25,09:30,SELL,SHORT,2,419.08,424.234,ZONE,,1026.32,"trigger=419.130 zone=supply htf=[417.05,428.59] refined=[417.390,423.810] rr=3.9"
2026-03-26,11:30,CLOSE,SHORT,2,403.633,403.583,TRAIL_STOP,30.89,1057.22,entry=419.080 trigger=403.583 comm=0.0000 zone=supply
